"fullname","motivation","surname","firstname","share","born","year","age","born_city","died","is_alive","category","born_country","gender","born_country_code","affiliation_city","affiliation","affiliation_country"
"Frederick Sanger","for his work on the structure of proteins, especially that of insulin","Sanger","Frederick","1","1918-08-13","1958","39","Rendcombe","2013-11-19","false","chemistry","United Kingdom","male","GB","Cambridge","Cambridge","United Kingdom"
"Boris Leonidovich Pasternak","for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition","Pasternak","Boris Leonidovich","1","1890-02-10","1958","67","Moscow","1960-05-30","false","literature","Russia","male","RU","","none",""
"Edward Lawrie Tatum","for their discovery that genes act by regulating definite chemical events","Tatum","Edward Lawrie","4","1909-12-14","1958","48","Boulder, CO","1975-11-05","false","medicine","USA","male","US","New York, NY","Rockefeller","USA"
"Joshua Lederberg","for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria","Lederberg","Joshua","2","1925-05-23","1958","32","Montclair, NJ","2008-02-02","false","medicine","USA","male","US","Madison, WI","University of Wisconsin","USA"
"George Wells Beadle","for their discovery that genes act by regulating definite chemical events","Beadle","George Wells","4","1903-10-22","1958","54","Wahoo, NE","1989-06-09","false","medicine","USA","male","US","Pasadena, CA","Caltech","USA"
"Georges Pire","","Pire","Georges","1","1910-02-10","1958","47","Dinant","1969-01-30","false","peace","Belgium","male","BE","","none",""
"Pavel Alekseyevich Cherenkov","for the discovery and the interpretation of the Cherenkov effect","Cherenkov","Pavel Alekseyevich","3","1904-07-28","1958","53","Novaya Chigla","1990-01-06","false","physics","Russia","male","RU","Moscow","P.N. Lebedev Physical Institute","USSR"
"Il´ja Mikhailovich Frank","for the discovery and the interpretation of the Cherenkov effect","Frank","Il´ja Mikhailovich","3","1908-10-23","1958","49","Leningrad (now Saint Petersburg)","1990-06-22","false","physics","Russia","male","RU","Moscow","P.N. Lebedev Physical Institute","USSR"
"Igor Yevgenyevich Tamm","for the discovery and the interpretation of the Cherenkov effect","Tamm","Igor Yevgenyevich","3","1895-07-08","1958","62","Vladivostok","1971-04-12","false","physics","Russia","male","RU","Moscow","University of Moscow","USSR"
"Jaroslav Heyrovsky","for his discovery and development of the polarographic methods of analysis","Heyrovsky","Jaroslav","1","1890-12-20","1959","68","Prague","1967-03-27","false","chemistry","Austria-Hungary (now Czech Republic)","male","CZ","Prague","Polarographic Institute of the Czechoslovak Academy of Science","Czechoslovakia"
"Salvatore Quasimodo","for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times","Quasimodo","Salvatore","1","1901-08-20","1959","57","Modica","1968-06-14","false","literature","Italy","male","IT","","none",""
"Severo Ochoa","for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid","Ochoa","Severo","2","1905-09-24","1959","53","Luarca","1993-11-01","false","medicine","Spain","male","ES","New York, NY","New York University, College of Medicine","USA"
"Arthur Kornberg","for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid","Kornberg","Arthur","2","1918-03-03","1959","40","Brooklyn, NY","2007-10-26","false","medicine","USA","male","US","Stanford, CA","Stanford","USA"
"Philip J. Noel-Baker","","Noel-Baker","Philip J.","1","1889-11-01","1959","69","London","1982-10-08","false","peace","United Kingdom","male","GB","","none",""
"Owen Chamberlain","for their discovery of the antiproton","Chamberlain","Owen","2","1920-07-10","1959","38","San Francisco, CA","2006-02-28","false","physics","USA","male","US","Berkeley, CA","University of California","USA"
"Emilio Gino Segrè","for their discovery of the antiproton","Segrè","Emilio Gino","2","1905-02-01","1959","53","Tivoli","1989-04-22","false","physics","Italy","male","IT","Berkeley, CA","University of California","USA"
"Willard Frank Libby","for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science","Libby","Willard Frank","1","1908-12-17","1960","51","Grand Valley, CO","1980-09-08","false","chemistry","USA","male","US","Los Angeles, CA","University of California","USA"
"Saint-John Perse","for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time","Perse","Saint-John","1","1887-05-31","1960","72","Pointe-à-Pitre","1975-09-20","false","literature","Guadeloupe Island","male","GP","","none",""
"Sir Frank Macfarlane Burnet","for discovery of acquired immunological tolerance","Burnet","Sir Frank Macfarlane","2","1899-09-03","1960","60","Traralgon","1985-08-31","false","medicine","Australia","male","AU","Melbourne","Walter and Eliza Hall Institute for Medical Research","Australia"
"Peter Brian Medawar","for discovery of acquired immunological tolerance","Medawar","Peter Brian","2","1915-02-28","1960","44","Rio de Janeiro","1987-10-02","false","medicine","Brazil","male","BR","London","University College","United Kingdom"
"Donald Arthur Glaser","for the invention of the bubble chamber","Glaser","Donald Arthur","1","1926-09-21","1960","33","Cleveland, OH","2013-02-28","false","physics","USA","male","US","Berkeley, CA","University of California","USA"
"Melvin Calvin","for his research on the carbon dioxide assimilation in plants","Calvin","Melvin","1","1911-04-08","1961","49","St. Paul, MN","1997-01-08","false","chemistry","USA","male","US","Berkeley, CA","University of California","USA"
"Ivo Andric","for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country","Andric","Ivo","1","1892-10-10","1961","68","Dolac","1975-03-13","false","literature","Bosnia (now Bosnia and Herzegovina)","male","BA","","none",""
"Georg von Békésy","for his discoveries of the physical mechanism of stimulation within the cochlea","von Békésy","Georg","1","1899-06-03","1961","61","Budapest","1972-06-13","false","medicine","Hungary","male","HU","Cambridge, MA","Harvard","USA"
"Dag Hjalmar Agne Carl Hammarskjöld","","Hammarskjöld","Dag Hjalmar Agne Carl","1","1905-07-29","1961","55","Jönköping","1961-09-18","false","peace","Sweden","male","SE","","none",""
"Rudolf Ludwig Mössbauer","for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name","Mössbauer","Rudolf Ludwig","2","1929-01-31","1961","31","Munich","2011-09-14","false","physics","Germany","male","DE","Munich","Technical University","Federal Republic of Germany"
"Robert Hofstadter","for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons","Hofstadter","Robert","2","1915-02-05","1961","45","New York, NY","1990-11-17","false","physics","USA","male","US","Stanford, CA","Stanford","USA"
"Max Ferdinand Perutz","for their studies of the structures of globular proteins","Perutz","Max Ferdinand","2","1914-05-19","1962","47","Vienna","2002-02-06","false","chemistry","Austria","male","AT","Cambridge","MRC Laboratory of Molecular Biology","United Kingdom"
"John Cowdery Kendrew","for their studies of the structures of globular proteins","Kendrew","John Cowdery","2","1917-03-24","1962","44","Oxford","1997-08-23","false","chemistry","United Kingdom","male","GB","Cambridge","MRC Laboratory of Molecular Biology","United Kingdom"
"John Steinbeck","for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception","Steinbeck","John","1","1902-02-27","1962","59","Salinas, CA","1968-12-20","false","literature","USA","male","US","","none",""
"James Dewey Watson","for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material","Watson","James Dewey","3","1928-04-06","1962","33","Chicago, IL","0000-00-00","true","medicine","USA","male","US","Cambridge, MA","Harvard","USA"
"Maurice Hugh Frederick Wilkins","for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material","Wilkins","Maurice Hugh Frederick","3","1916-12-15","1962","45","Pongaroa","2004-10-05","false","medicine","New Zealand","male","NZ","London","London University","United Kingdom"
"Francis Harry Compton Crick","for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material","Crick","Francis Harry Compton","3","1916-06-08","1962","45","Northampton","2004-07-28","false","medicine","United Kingdom","male","GB","Cambridge","MRC Laboratory of Molecular Biology","United Kingdom"
"Linus Carl Pauling","","Pauling","Linus Carl","1","1901-02-28","1962","60","Portland, OR","1994-08-19","false","peace","USA","male","US","Pasadena, CA","Caltech","USA"
"Lev Davidovich Landau","for his pioneering theories for condensed matter, especially liquid helium","Landau","Lev Davidovich","1","1908-01-22","1962","53","Baku","1968-04-01","false","physics","Russian Empire (now Azerbaijan)","male","AZ","Moscow","Academy of Sciences","USSR"
"Karl Ziegler","for their discoveries in the field of the chemistry and technology of high polymers","Ziegler","Karl","2","1898-11-26","1963","64","Helsa","1973-08-12","false","chemistry","Germany","male","DE","Mülheim/Ruhr","Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research)","Federal Republic of Germany"
"Giulio Natta","for their discoveries in the field of the chemistry and technology of high polymers","Natta","Giulio","2","1903-02-26","1963","59","Imperia","1979-05-02","false","chemistry","Italy","male","IT","Milan","Institute of Technology","Italy"
"Giorgos Seferis","for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture","Seferis","Giorgos","1","1900-03-13","1963","62","Smyrna (now Izmir)","1971-09-20","false","literature","Ottoman Empire (now Turkey)","male","TR","","none",""
"Sir John Carew Eccles","for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane","Eccles","Sir John Carew","3","1903-01-27","1963","59","Melbourne","1997-05-02","false","medicine","Australia","male","AU","Canberra","Australian National University","Australia"
"Alan Lloyd Hodgkin","for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane","Hodgkin","Alan Lloyd","3","1914-02-05","1963","48","Banbury","1998-12-20","false","medicine","United Kingdom","male","GB","Cambridge","Cambridge","United Kingdom"
"Andrew Fielding Huxley","for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane","Huxley","Andrew Fielding","3","1917-11-22","1963","45","Hampstead","2012-05-30","false","medicine","United Kingdom","male","GB","London","University College","United Kingdom"
